Episode no = 330; won: False; Q(s,a) = 21.10066852590294; reward = -430.0; and epsilon = 0.956, win percentage = 0.0, 2024-05-06 07:00:03
Episode no = 340; won: False; Q(s,a) = 23.847051157504165; reward = -472.0; and epsilon = 0.9546666666666667, win percentage = 0.0, 2024-05-06 07:00:13
Episode no = 350; won: False; Q(s,a) = 23.154935824154492; reward = -440.0; and epsilon = 0.9533333333333334, win percentage = 0.0, 2024-05-06 07:00:21
Episode no = 360; won: False; Q(s,a) = 24.166700895046414; reward = -409.0; and epsilon = 0.952, win percentage = 0.0, 2024-05-06 07:00:34
Episode no = 370; won: False; Q(s,a) = 8.230718057898951; reward = -445.0; and epsilon = 0.9506666666666667, win percentage = 0.0, 2024-05-06 07:00:42
Episode no = 380; won: False; Q(s,a) = 10.404705482167097; reward = -451.0; and epsilon = 0.9493333333333334, win percentage = 0.0, 2024-05-06 07:00:52
Episode no = 390; won: False; Q(s,a) = 29.097753930590912; reward = -446.0; and epsilon = 0.948, win percentage = 0.0, 2024-05-06 07:01:03
Episode no = 400; won: False; Q(s,a) = 29.373997466288127; reward = -403.0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-05-06 07:01:12
Episode no = 410; won: False; Q(s,a) = 37.5316907690315; reward = -405.0; and epsilon = 0.9453333333333334, win percentage = 0.0, 2024-05-06 07:01:21
Episode no = 420; won: False; Q(s,a) = 33.84524858462841; reward = -485.0; and epsilon = 0.944, win percentage = 0.0, 2024-05-06 07:01:28
Episode no = 430; won: False; Q(s,a) = nan; reward = -453.0; and epsilon = 0.9426666666666667, win percentage = 0.0, 2024-05-06 07:01:44
Episode no = 440; won: False; Q(s,a) = 30.164134797521506; reward = -471.0; and epsilon = 0.9413333333333334, win percentage = 0.0, 2024-05-06 07:01:57
Episode no = 450; won: False; Q(s,a) = nan; reward = -475.0; and epsilon = 0.94, win percentage = 0.0, 2024-05-06 07:02:05
Episode no = 460; won: False; Q(s,a) = 22.749978845876683; reward = -468.0; and epsilon = 0.9386666666666666, win percentage = 0.0, 2024-05-06 07:02:32
